inicio,fim,alpha,beta,delta,theta,gamma
41500,41625,100.0,11.928204334112163,0.0,10.78913104599785,0.2226146597990393
41625,41750,100.0,13.378372513273723,0.0,13.966163975759876,0.2734508041305595
41750,41875,99.99999999999999,15.433800509650379,0.0,15.854354906098303,0.40813463733173855
41875,42000,100.0,18.428896336972866,0.0,17.688046219074323,0.6937180626317345
42000,42125,99.99999999999999,20.745374552938145,0.0,17.46085441366028,0.555947423109139
42125,42250,100.0,13.050553446222926,0.0,16.876675372198672,0.34956037903584863
42250,42375,100.0,16.954960990348166,0.0,17.155212784279822,0.1425238417489001
42375,42500,100.0,20.047589987665525,0.0,20.70801997384591,0.22631298649282394
42500,42625,100.0,24.906862765485748,0.0,21.613252411915276,0.11600627042345624
42625,42750,100.0,20.88572036976719,0.03375274104879766,28.011466552070857,0.0
42750,42875,100.0,14.520083776797424,0.06976217020284015,18.940880604882516,0.0
42875,43000,100.0,12.466340293640803,0.0,23.35335738769875,0.18975413001079247
